Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Microfoon (Condensator), Gevoeligheid 52D, Perfect voor Gebruik met Arduino/Raspberry Pi 9 x 7mm, Through Hole (OT3784)","Microphone",,0.90,"","Otronic"
"Soldeertin 50g 0.8mm (OT3579)","Soldering",,4.15,"","Otronic"
"2-aderig kabel 22AWG Ø1.3mm rood / zwart 1 meter (OTK21)","Wiring",1,0.95,"","Otronic"
"ESP32-S3 N16R8 Devboard - 16MB Flash & 8MB PSRAM IoT Ontwikkelbord (OT1022)","Compute",,20.95,"","Otronic"
"Assortiment Krimpkousen 2:1 - 328 Stuks, 5 kleuren, 8 doorsnedes (OT3572)","Making sure the wires dont interconnect",1,4.70,"","Otronic"
"Mini OLED display wit 0.96 inch 128x64 I2C (OT822-C66)","Seeing",1,5.99,"https://www.otronic.nl/nl/mini-oled-display-wit-096-inch-128x64-i2c.html","Otronic"
